ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
319.7304,99.1977,99.1825,62.0964,47.8500,2.5337,320.0000,100.0000,100.0000
319.6730,99.2082,312.3564,145.5439,36.4000,3.1357,320.0000,100.0000,320.0000
319.7033,99.2096,322.1547,147.9003,37.1000,3.0800,320.0000,100.0000,330.0000
319.7446,313.2486,9.9983,76.6248,51.1000,1.6660,320.0000,320.0000,10.0000
319.7165,313.2733,29.9071,69.7665,51.1000,1.6943,320.0000,320.0000,30.0000
319.6945,313.2979,99.0991,64.8468,44.6000,1.8479,320.0000,320.0000,100.0000
319.6853,313.3950,313.3800,56.1213,0.0000,2.1849,320.0000,320.0000,320.0000
319.6840,313.5389,313.9844,55.9953,0.0000,2.1838,320.0000,320.0000,330.0000
319.7148,322.6840,9.9873,78.8338,51.1000,1.6379,320.0000,330.0000,10.0000
319.6717,322.8661,29.9380,81.5589,45.0000,1.6945,320.0000,330.0000,30.0000
319.7161,322.8295,99.2224,41.9245,51.1000,1.8338,320.0000,330.0000,100.0000
319.6928,322.2427,312.8004,56.3336,0.0000,2.1840,320.0000,330.0000,320.0000
319.7146,322.9670,322.9527,97.8046,0.0000,2.1557,320.0000,330.0000,330.0000
329.6612,10.0027,10.0026,329.6684,10.1250,9.8137,330.0000,10.0000,10.0000
329.6567,10.0025,29.9490,329.8128,10.7250,29.3570,330.0000,10.0000,30.0000
329.6305,10.0027,99.2792,329.7110,10.4000,97.2915,330.0000,10.0000,100.0000
329.6654,10.0017,313.0528,255.5766,7.9500,6.9716,330.0000,10.0000,320.0000
329.6538,10.0024,322.5870,253.9379,7.5667,6.8458,330.0000,10.0000,330.0000
329.6678,29.8934,10.0016,326.7085,31.8250,9.8134,330.0000,30.0000,10.0000
329.6704,29.9092,29.9093,288.1332,32.0500,16.4827,330.0000,30.0000,30.0000
329.6755,29.9141,99.0354,182.3538,31.1250,9.1408,330.0000,30.0000,100.0000
329.6831,29.9403,312.8935,205.8032,17.8000,5.4736,330.0000,30.0000,320.0000
329.6591,29.9500,322.3307,208.0601,18.3500,5.4468,330.0000,30.0000,330.0000
329.6649,99.0656,9.9983,35.0854,50.9000,1.6239,330.0000,100.0000,10.0000
329.6973,99.0375,29.8930,66.7583,48.9500,1.8479,330.0000,100.0000,30.0000
329.6951,99.1465,99.1612,63.3848,46.9500,2.5060,330.0000,100.0000,100.0000
329.6482,99.2138,312.4672,139.0612,35.3000,3.4156,330.0000,100.0000,320.0000
329.6871,99.1931,322.2015,145.2006,37.5000,3.2617,330.0000,100.0000,330.0000
329.6902,313.3292,10.0017,77.5016,43.8000,1.6099,330.0000,320.0000,10.0000
329.6685,313.3255,29.9342,75.7774,50.9000,1.6519,330.0000,320.0000,30.0000
329.6839,313.1726,99.1091,78.2763,51.1000,1.7770,330.0000,320.0000,100.0000
329.6349,313.4932,313.4507,53.1949,0.0000,2.1000,330.0000,320.0000,320.0000
329.7012,313.5278,314.0592,53.8395,0.0000,2.0996,330.0000,320.0000,330.0000
329.7090,322.7897,10.0018,70.7217,44.0000,1.5958,330.0000,330.0000,10.0000
329.7115,322.8777,29.9181,78.4086,51.1000,1.6518,330.0000,330.0000,30.0000
329.7206,322.7568,99.2265,58.6851,50.3000,1.7919,330.0000,330.0000,100.0000
329.6763,322.2004,312.6478,85.8795,0.0000,2.0857,330.0000,330.0000,320.0000
329.6729,322.9444,322.9139,97.4891,0.0000,2.0996,330.0000,330.0000,330.0000
